,region_code,city,upload_kbps_2008,upload_kbps_2009,upload_kbps_2010,upload_kbps_2011,upload_kbps_2012,upload_kbps_2013,upload_kbps_2014,total_tests_2008,total_tests_2009,total_tests_2010,total_tests_2011,total_tests_2012,total_tests_2013,total_tests_2014,download_kbps_2008,download_kbps_2009,download_kbps_2010,download_kbps_2011,download_kbps_2012,download_kbps_2013,download_kbps_2014,over200_2008,over200_2009,over200_2010,over200_2011,over200_2012,over200_2013,over200_2014,zip,primary_city,state
8014,OH,Bowling Green,532.0724126,589.2087589,778.7312164,1159.841447,1986.638895,2702.415726,3134.349964,177222,258762,384099,548846,522917,565154,465258,4145.820383,5976.70789,5944.75137,8839.736247,12632.53224,14437.1789,15715.99709,177222,258762,384099,548846,522917,565154,465258,43402,Bowling Green,OH
8015,OH,Brecksville,,,,,1934.02152,1675.746603,2381.368364,,,,,52181,149129,131978,,,,,11002.36742,10953.5626,13895.48982,,,,,52181,149129,131978,44141,Brecksville,OH
8016,OH,Bridgeport,,,,,4848.543631,5368.600076,7323.295214,,,,,20314,33448,31008,,,,,23398.08935,22493.23612,32736.47179,,,,,20314,33448,31008,43912,Bridgeport,OH
8017,OH,Broadview Heights,718.8065584,1771.522886,3155.334039,6792.714451,5236.643315,7553.201178,7427.150982,37601,82615,99395,132163,198494,190023,174692,7337.059653,10728.35353,12528.59518,17177.97802,16743.38177,21062.45507,27137.13455,37601,82615,99395,132163,198494,190023,174692,44147,Broadview Heights,OH
8018,OH,Brook Park,,,967.7930417,1074.905612,1690.072275,2073.70453,2377.176945,,,13890,105909,146397,142347,157325,,,7557.216146,8283.668044,10289.14244,13369.21243,14951.25382,,,13890,105909,146397,142347,157325,,,
8019,OH,Brookville,477.1232368,485.9042247,527.1146192,794.6148895,1213.886242,1975.544932,1895.148248,54585,74460,119557,139533,91274,114274,131989,3563.72345,4870.700983,5673.081425,8672.383564,13237.36556,13319.22932,13939.01825,54585,74460,119557,139533,91274,114274,131989,45309,Brookville,OH
8020,OH,Brunswick,478.2479945,490.8154877,504.6384192,965.2941342,1466.642348,1879.736795,2943.992327,141933,267212,372936,705220,1045935,1247998,997178,4878.484235,7478.517616,7795.197808,10363.67811,11690.2895,13400.24849,15900.86509,141933,267212,372936,705220,1045935,1247998,997178,44212,Brunswick,OH
8021,OH,Bryan,485.1219282,448.6102161,551.1118398,1077.899778,1372.676105,1747.601808,2155.829745,59891,87754,106969,136484,155398,153883,162212,4585.231782,5797.419889,6509.010166,9516.710932,12261.64086,13600.80767,14434.38036,59891,87754,106969,136484,155398,153883,162212,43506,Bryan,OH
8022,OH,Bucyrus,459.103244,457.5030696,606.3739478,866.1723434,1637.82664,2030.164904,2710.969164,42083,80870,129094,99896,103548,89421,142995,4352.615327,5940.798189,7971.209835,9810.868049,13142.53654,12294.79142,11972.20087,42083,80870,129094,99896,103548,89421,142995,44820,Bucyrus,OH
8023,OH,Byesville,,,,,450.3406379,1777.303065,1173.086143,,,,,22413,77166,40989,,,,,4659.134052,6174.37071,5768.067452,,,,,22413,77166,40989,43723,Byesville,OH
