"county","cbsa","cntyname","cbsaname","pop10","afact"
"county","cbsa","cntyname","CBSA Name","Total Pop, 2010 census","county to cbsa alloc factor"
"53051","44060","Pend Oreille WA","Spokane-Spokane Valley, WA",13001,1 
"53053","42660","Pierce WA","Seattle-Tacoma-Bellevue, WA",795225,1 
"53055"," ","San Juan WA"," ",15769,1 
"53057","34580","Skagit WA","Mount Vernon-Anacortes, WA",116901,1 
"53059","38900","Skamania WA","Portland-Vancouver-Hillsboro, OR-WA",11066,1 
"53061","42660","Snohomish WA","Seattle-Tacoma-Bellevue, WA",713335,1 
"53063","44060","Spokane WA","Spokane-Spokane Valley, WA",471221,1 
"53065","44060","Stevens WA","Spokane-Spokane Valley, WA",43531,1 
"53067","36500","Thurston WA","Olympia-Tumwater, WA",252264,1 
"53069"," ","Wahkiakum WA"," ",3978,1 
"53071","47460","Walla Walla WA","Walla Walla, WA",58781,1 
"53073","13380","Whatcom WA","Bellingham, WA",201140,1 
"53075","39420","Whitman WA","Pullman, WA",44776,1 
"53077","49420","Yakima WA","Yakima, WA",243231,1 
"54001"," ","Barbour WV"," ",16589,1 
"54003","25180","Berkeley WV","Hagerstown-Martinsburg, MD-WV",104169,1 
"54005","16620","Boone WV","Charleston, WV",24629,1 
"54007"," ","Braxton WV"," ",14523,1 
"54009","48260","Brooke WV","Weirton-Steubenville, WV-OH",24069,1 
"54011","26580","Cabell WV","Huntington-Ashland, WV-KY-OH",96319,1 
"54013"," ","Calhoun WV"," ",7627,1 
"54015","16620","Clay WV","Charleston, WV",9386,1 
"54017","17220","Doddridge WV","Clarksburg, WV",8202,1 
"54019","13220","Fayette WV","Beckley, WV",46039,1 
"54021"," ","Gilmer WV"," ",8693,1 
"54023"," ","Grant WV"," ",11937,1 
"54025"," ","Greenbrier WV"," ",35480,1 
"54027","49020","Hampshire WV","Winchester, VA-WV",23964,1 
"54029","48260","Hancock WV","Weirton-Steubenville, WV-OH",30676,1 
"54031"," ","Hardy WV"," ",14025,1 
"54033","17220","Harrison WV","Clarksburg, WV",69099,1 
"54035"," ","Jackson WV"," ",29211,1 
"54037","47900","Jefferson WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",53498,1 
"54039","16620","Kanawha WV","Charleston, WV",193063,1 
"54041"," ","Lewis WV"," ",16372,1 
"54043","26580","Lincoln WV","Huntington-Ashland, WV-KY-OH",21720,1 
"54045","30880","Logan WV","Logan, WV",36743,1 
"54047"," ","McDowell WV"," ",22113,1 
"54049","21900","Marion WV","Fairmont, WV",56418,1 
"54051","48540","Marshall WV","Wheeling, WV-OH",33107,1 
"54053","38580","Mason WV","Point Pleasant, WV-OH",27324,1 
"54055","14140","Mercer WV","Bluefield, WV-VA",62264,1 
"54057","19060","Mineral WV","Cumberland, MD-WV",28212,1 
"54059"," ","Mingo WV"," ",26839,1 
"54061","34060","Monongalia WV","Morgantown, WV",96189,1 
"54063"," ","Monroe WV"," ",13502,1 
"54065"," ","Morgan WV"," ",17541,1 
"54067"," ","Nicholas WV"," ",26233,1 
"54069","48540","Ohio WV","Wheeling, WV-OH",44443,1 
"54071"," ","Pendleton WV"," ",7695,1 
"54073"," ","Pleasants WV"," ",7605,1 
"54075"," ","Pocahontas WV"," ",8719,1 
"54077","34060","Preston WV","Morgantown, WV",33520,1 
"54079","26580","Putnam WV","Huntington-Ashland, WV-KY-OH",55486,1 
"54081","13220","Raleigh WV","Beckley, WV",78859,1 
"54083","21180","Randolph WV","Elkins, WV",29405,1 
"54085"," ","Ritchie WV"," ",10449,1 
"54087"," ","Roane WV"," ",14926,1 
"54089"," ","Summers WV"," ",13927,1 
"54091","17220","Taylor WV","Clarksburg, WV",16895,1 
"54093"," ","Tucker WV"," ",7141,1 
"54095"," ","Tyler WV"," ",9208,1 
"54097"," ","Upshur WV"," ",24254,1 
"54099","26580","Wayne WV","Huntington-Ashland, WV-KY-OH",42481,1 
"54101"," ","Webster WV"," ",9154,1 
"54103"," ","Wetzel WV"," ",16583,1 
"54105","37620","Wirt WV","Parkersburg-Vienna, WV",5717,1 
"54107","37620","Wood WV","Parkersburg-Vienna, WV",86956,1 
"54109"," ","Wyoming WV"," ",23796,1 
"55001"," ","Adams WI"," ",20875,1 
"55003"," ","Ashland WI"," ",16157,1 
"55005"," ","Barron WI"," ",45870,1 
"55007"," ","Bayfield WI"," ",15014,1 
"55009","24580","Brown WI","Green Bay, WI",248007,1 
"55011"," ","Buffalo WI"," ",13587,1 
"55013"," ","Burnett WI"," ",15457,1 
"55015","11540","Calumet WI","Appleton, WI",48971,1 
"55017","20740","Chippewa WI","Eau Claire, WI",62415,1 
"55019"," ","Clark WI"," ",34690,1 
"55021","31540","Columbia WI","Madison, WI",56833,1 
"55023"," ","Crawford WI"," ",16644,1 
"55025","31540","Dane WI","Madison, WI",488073,1 
"55027","13180","Dodge WI","Beaver Dam, WI",88759,1 
"55029"," ","Door WI"," ",27785,1 
"55031","20260","Douglas WI","Duluth, MN-WI",44159,1 
"55033","32860","Dunn WI","Menomonie, WI",43857,1 
"55035","20740","Eau Claire WI","Eau Claire, WI",98736,1 
"55037","27020","Florence WI","Iron Mountain, MI-WI",4423,1 
"55039","22540","Fond du Lac WI","Fond du Lac, WI",101633,1 
"55041"," ","Forest WI"," ",9304,1 
"55043","38420","Grant WI","Platteville, WI",51208,1 
"55045","31540","Green WI","Madison, WI",36842,1 
"55047"," ","Green Lake WI"," ",19051,1 
"55049","31540","Iowa WI","Madison, WI",23687,1 
