state,puma12,puma2k,_us_,cbsa,stab,cbsaname,PUMAname,PUMA2kName,pop10,afact
FIPS state,puma12,puma2k,_us_,cbsa,State Postal Code,CBSA Name,PUMA12 Name,PUMA 2K Name,"Total Pop, 2010 census",puma2k to cbsa alloc factor
5,600,600,us,14180,AR,"Blytheville, AR","Crittenden, Mississippi & Craighead (East) Counties",500600,46480,0.477
5,600,600,us,32820,AR,"Memphis, TN-MS-AR","Crittenden, Mississippi & Craighead (East) Counties",500600,50902,0.523
5,700,700,us, ,AR, ,"St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties",500700,28294,0.275
5,700,700,us,22620,AR,"Forrest City, AR","St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties",500700,28258,0.275
5,700,700,us,25760,AR,"Helena-West Helena, AR","St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties",500700,21757,0.211
5,700,700,us,27860,AR,"Jonesboro, AR","St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties",500700,24583,0.239
5,700,800,us, ,AR, ,"St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties",500800,8149,1
5,800,800,us, ,AR, ,"White, Jackson, Prairie & Woodruff Counties",500800,33972,0.306
5,800,800,us,42620,AR,"Searcy, AR","White, Jackson, Prairie & Woodruff Counties",500800,77076,0.694
5,900,900,us,30780,AR,"Little Rock-North Little Rock-Conway, AR","Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities",500900,10307,1
